Pos, Norm, UV 
{-1.02344, 0.34375, -0.359375}	{-0.541246, -0.672658, 0.504501}	{0, 0.533908} 
{1.02344, 0.34375, -0.359375}	{0.541246, -0.672658, 0.504501}	{0.850607, 0} 
{1.03906, 0.328125, -0.414063}	{0.468886, -0.304727, 0.829005}	{0.633815, 0.55149} 
{-0.945313, 0.304688, -0.289063}	{-0.690054, -0.553209, 0.466628}	{0, 0.613046} 
{0.945313, 0.304688, -0.289063}	{0.690054, -0.553209, 0.466628}	{0.571327, 0} 
{-0.8125, -0.015625, -0.273438}	{-0.464003, 0.686666, 0.559557}	{0.530368, 0.831407} 
{0.8125, -0.015625, -0.273438}	{0.464003, 0.686666, 0.559557}	{0, 0.501394} 
{-0.8125, -0.015625, -0.320313}	{-0.750725, 0.111545, 0.651112}	{0.842435, 0} 
{-0.8125, -0.015625, -0.273438}	{-0.464003, 0.686666, 0.559557}	{0.626589, 0.538875} 
{-0.84375, 0.015625, -0.273438}	{-0.827448, -0.135899, 0.544786}	{0, 0.604527} 
{-0.851563, 0.015625, -0.320313}	{-0.277932, 0.260201, 0.92468}	{0.544684, 0} 
{0.84375, 0.015625, -0.273438}	{0.827448, -0.135899, 0.544786}	{0.508929, 0.810914} 
{0.8125, -0.015625, -0.273438}	{0.464003, 0.686666, 0.559557}	{0, 0.492547} 
{0.8125, -0.015625, -0.320313}	{0.750725, 0.111545, 0.651112}	{0.829318, 0} 
{-0.820313, 0.085938, -0.273438}	{-0.466231, 0.808863, 0.358196}	{0.618247, 0.522587} 
{0.820313, 0.085938, -0.273438}	{0.466231, 0.808863, 0.358196}	{0, 0.602583} 
{-0.757813, 0.09375, -0.273438}	{-0.74398, -0.022919, 0.667776}	{0.501781, 0} 
{0.757813, 0.09375, -0.273438}	{0.74398, -0.022919, 0.667776}	{0.480939, 0.81312} 
{-0.835938, 0.171875, -0.273438}	{-0.711295, -0.638325, 0.294137}	{0, 0.469234} 
{-0.835938, 0.171875, -0.273438}	{-0.711295, -0.638325, 0.294137}	{0.787943, 0} 
{0.835938, 0.171875, -0.273438}	{0.711295, -0.638325, 0.294137}	{0.616652, 0.502716} 
{0.835938, 0.171875, -0.273438}	{0.711295, -0.638325, 0.294137}	{0, 0.613925} 
{-0.890625, 0.242188, -0.265625}	{-0.709769, -0.501999, 0.494125}	{0.497595, 0} 
{0.890625, 0.242188, -0.265625}	{0.709769, -0.501999, 0.494125}	{0.459358, 0.796431} 
{-0.796875, 0.203125, -0.210938}	{-0.818903, -0.42552, 0.385113}	{0, 0.46284} 
{-0.859375, 0.320313, -0.046875}	{-0.992523, -0.071444, -0.098758}	{0.801566, 0} 
{0.859375, 0.320313, -0.046875}	{0.992523, -0.071444, -0.098758}	{0.644899, 0.511966} 
{0.796875, 0.203125, -0.210938}	{0.818903, -0.42552, 0.385113}	{0, 0.630336} 
{-0.84375, 0.289063, -0.210938}	{-0.439192, -0.273568, 0.855708}	{0.517087, 0} 
{-0.820313, 0.328125, -0.203125}	{-0.713828, 0.382183, 0.58681}	{0.628893, 0.504351} 
{0.820313, 0.328125, -0.203125}	{0.713828, 0.382183, 0.58681}	{0, 0.635735} 
{0.84375, 0.289063, -0.210938}	{0.439192, -0.273568, 0.855708}	{0.498392, 0} 
{0.820313, 0.328125, -0.203125}	{0.713828, 0.382183, 0.58681}	{0.45827, 0.813966} 
{-0.921875, 0.359375, -0.21875}	{-0.414686, -0.059877, 0.907956}	{0, 0.46963} 
{0.921875, 0.359375, -0.21875}	{0.414686, -0.059877, 0.907956}	{0.821874, 0} 
{-0.84375, 0.015625, -0.273438}	{-0.827448, -0.135899, 0.544786}	{0.457144, 0.833207} 
{-0.757813, 0.09375, -0.273438}	{-0.74398, -0.022919, 0.667776}	{0, 0.449054} 
{0.757813, 0.09375, -0.273438}	{0.74398, -0.022919, 0.667776}	{0.817297, 0} 
{0.757813, 0.09375, -0.273438}	{0.74398, -0.022919, 0.667776}	{0.637359, 0.534149} 
{0.84375, 0.015625, -0.273438}	{0.827448, -0.135899, 0.544786}	{0, 0.654293} 
{-0.828125, -0.070313, -0.132813}	{-0.341563, 0.452132, 0.823939}	{0.524569, 0} 
{-0.71875, -0.023438, -0.171875}	{-0.588519, 0.226966, 0.775933}	{0.464258, 0.849211} 
{0.828125, -0.070313, -0.132813}	{0.341563, 0.452132, 0.823939}	{0, 0.4826} 
{0.890625, 0.40625, -0.234375}	{-0.127689, 0.703757, 0.698843}	{0.837505, 0} 
{-0.726563, 0, -0.070313}	{-0.88818, -0.439955, -0.132389}	{0.644187, 0.54852} 
{-0.734375, -0.046875, 0.070313}	{-0.724509, -0.684927, 0.076632}	{0, 0.659377} 
{-0.851563, 0.234375, 0.054688}	{-0.987548, -0.12302, 0.097995}	{0.540935, 0} 
{-0.859375, 0.320313, -0.046875}	{-0.992523, -0.071444, -0.098758}	{0.478087, 0.863369} 
{0.851563, 0.234375, 0.054688}	{0.987548, -0.12302, 0.097995}	{0, 0.493557} 
{0.734375, -0.046875, 0.070313}	{0.724509, -0.684927, 0.076632}	{0.851414, 0} 
{0.726563, 0, -0.070313}	{0.88818, -0.439955, -0.132389}	{0.59723, 0.539263} 
{0.859375, 0.320313, -0.046875}	{0.992523, -0.071444, -0.098758}	{0, 0.595257} 
{-0.773438, -0.140625, -0.125}	{-0.073672, -0.594989, 0.800317}	{0.495349, 0} 
{-0.59375, -0.125, -0.164063}	{-0.330546, -0.943236, 0.031281}	{0.466971, 0.777596} 
{0.59375, -0.125, -0.164063}	{0.330546, -0.943236, 0.031281}	{0, 0.507407} 
{0.773438, -0.140625, -0.125}	{0.073672, -0.594989, 0.800317}	{0.801398, 0} 
{0.71875, -0.023438, -0.171875}	{0.588519, 0.226966, 0.775933}	{0.605628, 0.572478} 
{-0.59375, -0.125, -0.164063}	{-0.330546, -0.943236, 0.031281}	{0, 0.604527} 
{-0.59375, -0.125, -0.164063}	{-0.330546, -0.943236, 0.031281}	{0.544684, 0} 
{0.59375, -0.125, -0.164063}	{0.330546, -0.943236, 0.031281}	{0.605628, 0.572478} 
{0.59375, -0.125, -0.164063}	{0.330546, -0.943236, 0.031281}	{0, 0.534801} 
{-1.01563, 0.414063, -0.289063}	{-0.572741, -0.088443, 0.814936}	{0.825096, 0} 
{1.01563, 0.414063, -0.289063}	{0.572741, -0.088443, 0.814936}	{0.534801, 0.825096} 
{-1.17188, 0.359375, -0.4375}	{0.200934, -0.758141, 0.62035}	{0, 0.508929} 
{-1.1875, 0.4375, -0.390625}	{-0.291818, -0.152104, 0.944273}	{0.810914, 0} 
{1.1875, 0.4375, -0.390625}	{0.291818, -0.152104, 0.944273}	{0.627145, 0.592333} 
{1.17188, 0.359375, -0.4375}	{-0.200934, -0.758141, 0.62035}	{0, 0.627145} 
{-1.26563, 0.289063, -0.40625}	{0.239662, -0.128605, 0.962279}	{0.592333, 0} 
{1.26563, 0.289063, -0.40625}	{-0.239662, -0.128605, 0.962279}	{0.605628, 0.572478} 
{-1.21094, 0.078125, -0.40625}	{0.187017, 0.370678, 0.909696}	{0, 0.544318} 
{1.21094, 0.078125, -0.40625}	{-0.187017, 0.370678, 0.909696}	{0.85362, 0} 
{-1.03125, -0.039063, -0.304688}	{-0.455794, 0.42317, 0.783044}	{0.544318, 0.85362} 
{1.03125, -0.039063, -0.304688}	{0.455794, 0.42317, 0.783044}	{0, 0.533908} 
{-1.03906, -0.101563, -0.328125}	{-0.530229, -0.655751, 0.53737}	{0.850607, 0} 
{1.03906, -0.101563, -0.328125}	{0.530229, -0.655751, 0.53737}	{0.530368, 0.831407} 
{-1.28125, 0.054688, -0.429688}	{-0.662038, -0.41377, 0.624866}	{0, 0.643384} 
{1.28125, 0.054688, -0.429688}	{0.662038, -0.41377, 0.624866}	{0.583025, 0} 
{-1.35156, 0.320313, -0.421875}	{-0.716392, 0.204474, 0.667043}	{0.651887, 0.586528} 
{1.35156, 0.320313, -0.421875}	{0.716392, 0.204474, 0.667043}	{0, 0.627145} 
{-1.23438, 0.507813, -0.421875}	{-0.361156, 0.848689, 0.386303}	{0.592333, 0} 
{1.23438, 0.507813, -0.421875}	{0.361156, 0.848689, 0.386303}	{0.643384, 0.583025} 
{1.02344, 0.476563, -0.3125}	{0.031556, 0.83871, 0.543626}	{0, 0.544318} 
{-0.429688, -0.195313, -0.210938}	{-0.543504, -0.813379, -0.207343}	{0.85362, 0} 
{-0.296875, -0.3125, -0.265625}	{-0.560045, -0.814417, -0.151738}	{0.528822, 0.875551} 
{0.296875, -0.3125, -0.265625}	{0.560045, -0.814417, -0.151738}	{0, 0.528577} 
{0.429688, -0.195313, -0.210938}	{0.543504, -0.813379, -0.207343}	{0.86585, 0} 
{-0.640625, -0.007813, -0.429688}	{-0.346141, -0.637287, -0.688498}	{0.528577, 0.86585} 
{0.640625, -0.007813, -0.429688}	{0.346141, -0.637287, -0.688498}	{0, 0.665532} 
{-0.617188, 0.328125, -0.585938}	{-0.615375, -0.087649, -0.783319}	{0.557472, 0} 
{-0.460938, 0.4375, -0.703125}	{-0.44731, 0.22953, -0.864406}	{0.492878, 0.878439} 
{0.460938, 0.4375, -0.703125}	{0.44731, 0.22953, -0.864406}	{0, 0.501778} 
{0.617188, 0.328125, -0.585938}	{0.615375, -0.087649, -0.783319}	{0.870396, 0} 
{-0.773438, 0.265625, -0.4375}	{-0.626057, -0.002686, -0.779748}	{0.669345, 0.535984} 
{0.773438, 0.265625, -0.4375}	{0.626057, -0.002686, -0.779748}	{0, 0.467321} 
{0.640625, -0.007813, -0.429688}	{0.346141, -0.637287, -0.688498}	{0.8712, 0} 
{-0.601563, 0, 0.414063}	{-0.547166, -0.832179, -0.089785}	{0.612569, 0.491986} 
{0.601563, 0, 0.414063}	{0.547166, -0.832179, -0.089785}	{0, 0.45471} 
{-0.796875, 0.617188, -0.117188}	{-0.873135, 0.486984, -0.020264}	{0.792385, 0} 
{-0.796875, 0.539063, -0.359375}	{-0.865352, 0.331217, -0.376049}	{0.613925, 0.497595} 
{-0.820313, 0.328125, -0.203125}	{-0.713828, 0.382183, 0.58681}	{0, 0.612569} 
